id,cluster_graph,cluster_kmean,ground
3741631204,14,1,1
3727062441,4,8,7
3711939258,6,1,6
3600127954,4,1,7
3733565849,4,1,10
3734548655,14,1,5
3707414961,10,3,15
3633352527,6,8,7
3733661135,3,1,5
3729503803,12,13,4
3650476595,14,1,5
3741551173,8,1,10
3731379010,14,1,6
3647989948,14,1,4
3702372033,6,1,7
3721826694,14,1,0
3719154047,4,1,10
3636871164,4,1,10
3718919084,8,8,4
3727803992,14,1,6
3736551056,4,1,1
3734672249,10,1,5
3736551899,10,3,15
3736013880,6,1,3
3670739772,4,1,5
3737710573,10,3,15
3646584855,10,3,17
3737709595,10,3,15
3731368445,6,1,15
3669795214,4,1,5
3736159322,6,1,0
3741116073,14,1,2
3734553609,4,1,1
3744796238,14,1,17
3742291935,14,1,2
3739413486,14,1,7
3738534194,8,8,3
3733965737,8,8,10
3743903323,5,11,6
3743138505,8,8,10
3744796594,14,1,13
3744798358,14,1,14
3743323865,13,1,5
3696928320,7,1,17
3742631137,8,8,14
3739450574,14,1,10
3744799431,14,1,13
3741343036,7,1,10
3745303782,14,1,10
3742816391,1,1,1
3736085676,4,10,7
3741336412,1,1,0
3746570402,14,1,13
3746993465,14,1,13
3744811227,7,1,7
3742532970,14,1,18
3744774482,8,1,11
3742616236,14,1,13
3742815528,14,1,12
3724250588,3,1,16
3746604117,14,1,3
3747393873,14,1,19
3734598695,4,10,10
3732415801,8,8,0
3730665533,4,10,7
3736680393,8,8,0
3742409674,14,1,2
3744880691,1,1,12
3714585731,14,1,0
3744885856,14,1,2
3747636984,4,1,6
3740096085,4,10,3
3673091156,3,7,13
3746741494,14,1,6
3735363543,7,4,18
3740905487,14,1,19
3732656497,4,10,12
3732530872,14,1,1
3742577734,4,10,7
3725268739,14,1,11
3744807778,1,1,12
3741107987,4,10,10
3732288454,14,1,6
3703048376,14,1,6
3739971062,14,1,13
3728941840,4,1,0
3740231881,14,1,13
3728827378,14,1,0
3744882176,1,1,10
3743664722,14,1,10
3728810189,14,1,6
3747309506,7,4,7
3738513038,14,1,2
3736006617,4,10,1
3743482803,14,1,4
3742267093,14,1,0
3744893258,14,1,8
3743683123,14,1,7
3679872809,8,8,0
3747353472,14,1,14
3707353353,4,10,12
3723593067,14,1,2
3742637787,14,1,17
3641772055,3,5,17
3747365066,14,1,1
3736089029,4,10,12
3737862110,1,1,11
3728779202,14,1,18
3715638564,4,10,1
3743913500,4,1,15
3672850068,14,1,6
3730128093,14,1,1
3737359709,4,10,1
3724241613,14,1,14
3635334017,14,1,10
3746500933,14,1,6
3745369437,14,1,18
3740400681,6,1,3
3742521835,8,1,6
3745036873,10,1,18
3704587299,4,1,2
3739486904,14,1,10
3733399869,4,10,10
3728892829,14,1,7
3701087956,14,1,17
3652202961,10,1,2
3731595329,8,8,7
3740060176,14,1,13
3731062740,8,8,7
3714331463,1,1,4
3742032723,4,10,10
3744091309,14,1,3
3746565935,4,1,15
3745342754,14,1,4
3641768561,3,5,14
3736009224,4,10,1
3744715306,14,1,8
3660036359,14,1,7
3740587540,4,1,6
3745327390,8,8,6
3724324602,4,1,3
3740929677,14,1,8
3641765568,3,7,13
3733406167,4,10,10
3735008229,14,1,19
3746604137,14,1,6
3735085354,4,1,12
3675556906,4,10,7
3733759915,14,1,10
3737905440,8,8,17
3735085396,4,10,1
3736224051,4,1,8
3740090779,4,10,7
3744813137,1,1,7
3719947061,14,1,6
3744150996,4,1,8
3732204255,4,10,10
3673087608,3,7,14
3732704973,4,1,15
3728844824,4,10,1
3744152721,4,1,8
3745313568,8,8,6
3735079926,4,10,3
3728463068,14,1,7
3728419029,14,1,14
3731984273,14,1,19
3732856782,10,1,17
3745037647,10,1,18
3673082411,3,7,14
3733813905,4,10,7
3735314980,8,8,19
3711152233,4,10,7
3736533016,14,1,12
3747393408,8,8,6
3736393183,4,10,10
3729051650,8,8,7
3733315884,14,1,19
